Pair,Best LB,Best SM,IS Profit (Pips),OOS Profit (Pips)
AUDCAD,15060.0,1.75,1064.2499999999952,415.4999999999998
AUDCHF,2060.0,1.75,1612.349999999999,428.94999999999396
AUDJPY,60.0,4.25,1053.5000000000114,570.8000000000104
AUDNZD,1060.0,1.5,2739.8500000000568,688.4000000000028
AUDUSD,7060.0,2.25,1171.1499999999987,-116.04999999999951
CADCHF,2060.0,1.75,1495.7999999999993,293.4999999999992
CADJPY,3060.0,2.0,2397.5500000000116,-740.3000000000028
CHFJPY,1060.0,1.5,5238.34999999985,949.9999999999648
EURAUD,60.0,4.25,1900.10000000003,645.8000000000094
EURCAD,3060.0,1.5,2373.450000000043,403.0499999999968
EURCHF,3060.0,1.5,1519.9000000000087,120.25000000000435
EURGBP,60.0,4.5,615.2999999999782,169.79999999999933
EURJPY,5060.0,1.75,2819.5500000000043,179.3999999999986
EURNZD,60.0,4.5,2073.9000000000033,532.4499999999715
EURUSD,11060.0,1.75,486.9000000000043,3.6000000000073626
GBPAUD,60.0,4.0,2048.2999999999693,1074.699999999948
GBPCAD,2060.0,2.0,2044.2500000000268,312.85000000000224
GBPCHF,3060.0,1.5,1484.5999999999926,623.4499999999857
GBPJPY,16060.0,1.5,2990.250000000011,419.450000000002
GBPNZD,60.0,4.0,2791.9999999998813,651.5999999999764
GBPUSD,12060.0,2.25,852.5000000000064,-110.59999999999972
NZDJPY,5060.0,2.25,2010.05,-318.74999999999665
NZDUSD,19060.0,2.0,831.0500000000031,118.05000000000629
USDCAD,18060.0,1.75,1343.7499999999984,-104.04999999999826
USDCHF,60.0,4.5,416.39999999999486,176.59999999999354
USDJPY,7060.0,3.0,1936.8000000000059,169.49999999999557
